worker_id,gender,household_income,household_size,location_country,marital_status,year_of_birth,count,participation
4e895425eb4c788fd47cfe5626a65dc4,male,"Less than $10,000",4,IN,single,1989,2,4
81755cc84b920fb6891b33e791d717d0,female,"$40,000-$59,999",3,US,cohabitating,1995,1,1
0a22150c6e2e03cc6a153c17911a44b7,male,"$25,000-$39,999",3,US,single,1976,2,2
f05c9951b9326916b50cb905201b09b0,male,"Less than $10,000",2,US,single,1994,1,1
35467b434cde188729db049bb862158b,male,"Less than $10,000",4,IN,single,1995,1,2
03f7f8b38c5047e8dbfaed17d1167cd8,male,"$60,000-$74,999",4,US,married,1984,1,2
7596fd4d5ff90cf3bf71669d2db440c0,female,"$25,000-$39,999",1,US,single,1992,1,7
041b2e6ca7627ce4805a014150c30460,female,"$10,000-$14,999",5+,IN,married,1988,1,2
5430fa09c7761bf367ed0945786f0da4,male,"$60,000-$74,999",4,US,married,1982,3,3
038fa188cb041dda7bf2ec39363bb50a,male,"$25,000-$39,999",3,RO,single,1995,1,2
1b9c0eeb13cb3c66e0675a85289ee9c3,male,"$40,000-$59,999",1,US,divorced,1978,9,9
41c300ba99e640e736d579c6e568bc34,female,"$40,000-$59,999",4,US,married,1977,1,1
bc273e7aefa7d817684df8133cae7e18,male,"$100,000 or more",3,US,married,1982,1,1
97c4d64c7483d24ca0290a6781fff0c3,female,"$100,000 or more",2,US,married,1979,2,2
1e7a1b2b974b5a081c4a25e063411920,male,"$75,000-$99,999",1,IN,married,1995,1,2
a41ddc2e208eecf758d722f40df490b3,male,"Less than $10,000",4,IN,married,1982,2,2
84c146d52030c24ddbf7eb6b7786179e,female,"$75,000-$99,999",5+,AU,married,1982,1,1
e013553aa87d4e4eb01bda5128580c87,female,"$15,000-$24,999",4,IN,married,1964,1,2
b02efc88bb2433552534804374025f8a,male,"$60,000-$74,999",2,US,cohabitating,1982,3,6
09b65ddcea0b5741bc0f210f05b3b6aa,female,"Less than $10,000",4,IN,married,1982,1,1
458485034e0a2f0324cc29bd32c83dbe,male,"$40,000-$59,999",3,US,single,1993,1,1
5e13baf55c1510fedea9e38869ffa6b9,male,"Less than $10,000",5+,IN,married,1986,1,3
7f680de95d10363adbf325912c66b8c1,male,"$40,000-$59,999",2,US,single,1982,2,4
7d29030f7cde00abe36c1af78fa2cae5,male,"$75,000-$99,999",3,US,single,1985,1,5
65410776d31238d90d5984c761ec7577,male,"$75,000-$99,999",3,US,single,1976,1,9
06d60cbe31e79da89607588933d6aaf0,male,"$40,000-$59,999",3,CA,married,1987,3,4
16fd07197f490ebee39f7da11224afbd,female,"$60,000-$74,999",5+,US,married,1993,1,1
274b6b99574fb84b07f6159d6840a0ed,female,"$25,000-$39,999",2,US,cohabitating,1988,1,1
98a297e4e4121fc995a6cbd010bbd8d6,male,"$100,000 or more",1,US,single,1994,2,2
d8ae65d365cdc54408c225397c72e6f8,female,"$25,000-$39,999",2,US,married,1987,1,1
ccbda83404449a85223d0e38aed00a32,male,"Less than $10,000",1,IN,single,1991,1,1
a921b9666aded82f85cccdfd8dd46d97,male,"Less than $10,000",4,US,single,1972,1,2
a8fb3be71446d17aa5aaf6cc61fe1c3d,female,"$25,000-$39,999",2,US,single,1991,1,1
a504c370a9fba45170ea76e4a70c7695,male,"Less than $10,000",1,AL,single,1975,2,7
1593aaa76799c863ff7a9b4c3690ae2a,male,"Less than $10,000",3,US,single,1994,1,1
24b375ba1af597ee1092a1f1898502a2,female,"$60,000-$74,999",4,US,single,1995,1,1
f12ef264e36a55e22ad5fd4476e47ee4,male,"$15,000-$24,999",3,IN,married,1986,1,2
c629466f4cff0770d2c43cda30b2b11a,female,"$25,000-$39,999",1,ES,single,1993,1,2
927295c5d4ce18fcc45db5d5fd7a6d13,female,"$25,000-$39,999",4,VE,single,1979,1,1
f88e401de5dee903ce232b5295bdf429,female,"$25,000-$39,999",5+,US,married,1967,1,2
0397b34698cd5fa662d9d0b5f6c3a72e,female,"$100,000 or more",2,US,married,1963,1,1
1fe77782dd396477a6c4d46f918c87eb,male,"$25,000-$39,999",1,US,single,1985,1,1
eb64c105892dd536c99deac6b3624556,male,"$10,000-$14,999",2,US,single,1969,1,1
76e53400fc6c3387669ae8cd04f575df,female,"$15,000-$24,999",2,IN,married,1996,1,7
c140ba6cae3f637e71e3d5e66cb30e83,male,"Less than $10,000",4,IN,single,1990,1,1
d1a3e1bd2c6222785f2754f6803f8be3,female,"$40,000-$59,999",4,US,married,1981,1,1
496775a84f37132709ce636c4badc444,male,"Less than $10,000",2,US,single,1996,1,1
c012fa2745a23a825138a3a0f207faa3,female,"$100,000 or more",3,US,cohabitating,1996,1,5
012848a0031154f86efcb466409c3a48,female,"$60,000-$74,999",1,US,divorced,1964,1,1
894b6523122ccf560e34a57f1dcbce43,male,"$15,000-$24,999",1,US,single,1992,1,1
237c5000a344488612c519540c7f4851,male,"$100,000 or more",3,US,married,1987,6,17
7b637eece1ac08684444aa9219151b59,male,"Less than $10,000",4,IN,single,1993,3,3
4226d73ef4c534323df0997423cd783e,female,"$25,000-$39,999",3,US,engaged,1977,2,3
dd482f5419e13138a8e1088f29a6cfd4,male,"$75,000-$99,999",4,US,single,1996,1,2
ab49b0b1fcba923b9dfdf61a67d40b5d,male,"$25,000-$39,999",2,US,married,1963,1,2
b52354cb2366a3134c8b3eb0cc180425,male,"$100,000 or more",5+,US,married,1968,15,16
546845881422e9deaf976463d20e8f51,male,"$10,000-$14,999",4,IN,married,1979,1,8
fb607b2b70025b448581cd27823ba09c,female,"$75,000-$99,999",3,US,cohabitating,1983,1,1
89607a29a5f1d05becb0dd36b608b8f9,female,"$15,000-$24,999",2,IN,married,1976,1,10
49d1a44e27ba90c148433b9ed5aaa884,male,"$15,000-$24,999",1,US,single,1984,1,1
b55879f450112aa635bd9516c4efd12e,male,"$100,000 or more",3,ES,married,1985,4,6
4313aab5cf60aed1177cb44d35090707,female,"$10,000-$14,999",5+,US,married,1987,1,2
d6ee9ecafaceeafeaec4c8d9bff58644,female,"$40,000-$59,999",5+,US,married,1985,1,1
bd9de57ce43b66e7bcee29f7736f7719,male,"Less than $10,000",1,PE,single,1987,1,7
90a620fb2a389551031e3fbc74b1474c,male,"$40,000-$59,999",2,IN,cohabitating,1984,1,5
36f49ec7c70e611065b86aaccd093a96,male,"$100,000 or more",4,US,married,1979,1,1
e232de52adf95c1bc48b53730f8e6054,male,"$25,000-$39,999",2,US,married,1988,1,1
3b2f5a77d26e2d3e0f8385309991c9f7,male,"$10,000-$14,999",1,US,divorced,1985,1,1
6123a30cd72b1c1d6faa9d2a13451d47,female,"$25,000-$39,999",3,US,divorced,1982,1,2
7de3c6385f4fb3d78be89b693db121df,male,"Less than $10,000",3,IN,single,1975,18,26
